[2026-02-23 23:25:04] [INFO    ] [root] Logging initialised — level=INFO, file=C:\Users\Dilip\workspace\AI-Leadership-Insight-Agent\logs\agent.log
[2026-02-23 23:25:09] [INFO    ] [__main__] ============================================================
[2026-02-23 23:25:09] [INFO    ] [__main__] INGESTION PIPELINE START
[2026-02-23 23:25:09] [INFO    ] [__main__] ============================================================
[2026-02-23 23:25:09] [INFO    ] [__main__] Step 1/3: Parsing documents from C:\Users\Dilip\workspace\AI-Leadership-Insight-Agent\data\raw
[2026-02-23 23:25:09] [INFO    ] [leadership_agent.ingestion.pdf_parser] Found 3 document(s) to ingest: ['MSFT_FY23Q4_10K.docx', 'MSFT_FY24Q4_10K.docx', 'MSFT_FY25q4_10K.docx']
[2026-02-23 23:25:09] [INFO    ] [leadership_agent.ingestion.pdf_parser] Starting ingestion for: MSFT_FY23Q4_10K.docx
[2026-02-23 23:25:09] [INFO    ] [leadership_agent.ingestion.pdf_parser] Inferred metadata: {'company': 'Microsoft', 'year': '2023', 'document_type': '10K'}
[2026-02-23 23:25:09] [INFO    ] [docling.datamodel.document] detected formats: [<InputFormat.DOCX: 'docx'>]
[2026-02-23 23:25:09] [INFO    ] [docling.document_converter] Going to convert document batch...
[2026-02-23 23:25:09] [INFO    ] [docling.document_converter] Initializing pipeline for SimplePipeline with options hash 35a8e94b10f7fb06f9f42c09d469bf86
[2026-02-23 23:25:09] [INFO    ] [docling.models.factories.base_factory] Loading plugin 'docling_defaults'
[2026-02-23 23:25:09] [INFO    ] [docling.models.factories] Registered picture descriptions: ['picture_description_vlm_engine', 'vlm', 'api']
[2026-02-23 23:25:09] [INFO    ] [docling.pipeline.base_pipeline] Processing document MSFT_FY23Q4_10K.docx
[2026-02-23 23:25:29] [INFO    ] [docling.document_converter] Finished converting document MSFT_FY23Q4_10K.docx in 19.89 sec.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Text chunks created: 679
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_1.csv (8 rows × 2 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_2.csv (1 rows × 3 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_3.csv (11 rows × 5 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_4.csv (2 rows × 3 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_5.csv (60 rows × 8 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_6.csv (10 rows × 7 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_7.csv (10 rows × 13 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_8.csv (11 rows × 22 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_9.csv (7 rows × 17 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_10.csv (4 rows × 3 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_11.csv (12 rows × 3 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_12.csv (8 rows × 3 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_13.csv (13 rows × 12 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_14.csv (21 rows × 12 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_15.csv (5 rows × 12 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_16.csv (5 rows × 14 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_17.csv (5 rows × 13 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_18.csv (14 rows × 9 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_19.csv (31 rows × 13 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_20.csv (13 rows × 5 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_21.csv (12 rows × 13 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_22.csv (7 rows × 1 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
[2026-02-23 23:25:29] [INFO    ] [leadership_agent.ingestion.pdf_parser] Table saved: Microsoft_2023_table_23.csv (10 rows × 10 cols)
[2026-02-23 23:25:29] [WARNING ] [docling_core.types.doc.document] Usage of TableItem.export_to_dataframe() without `doc` argument is deprecated.
